candidate,role,license_evidence,install_offline,reset_account,independent_oracle,ui_mutation,playwright_access,visual_hybrid_access,arch_or_budget_risk,status
WebTestPilot-bundle,primary SUT bundle,"Repo CC-BY-4.0; downstream app licenses separate", "Docker files and pinned versions; actual image architecture recorded per app", "BookStack 10/10 and Indico 3/3 local reset smoke cycles passed", "BookStack hidden DB oracle verified; Indico evaluator still draft", "BookStack layout mutation verified; broader mutations pending",confirmed in BookStack,"browser-use and SoM references; pure visual isolation ours","BookStack amd64 translation; Indico six-service cost",conditional-primary
WebTestBench,benchmark/reference,Apache-2.0 confirmed,"npm dev deployment; Python>=3.11 Node>=18; provider setup",automatic deploy/teardown stated; deterministic reset unknown,scoring_oracle.py exists but not matched hidden oracle,mutations not supplied,Playwright MCP present,CUA implied; observation contract not matched,provider/API spend; Claude Code dependency,reference-only
Chevrot-ATA-benchmark,collision/reference,"artifact license not clear in Zenodo record",offline artifact zip; runtime unknown,100 cases and mutated half; reset unknown,assertions/verdicts described; independent evaluator unknown,mutated cases yes; UI evolution no,SeeAct-ATA/PinATA browser path,visual agent present; three-arm comparison absent,license/runtime/reset audit required,reference-collision
WebArena,harness/reference,Apache-2.0,Docker/AWS/AMI; complex multi-service,container reset documented; state/cookies benchmark-specific,task evaluator not defect oracle,mutation framework absent,Playwright/BrowserGym available,HTML/AXTree/pixels via BrowserGym,very high infrastructure and no fault oracle,harness-only
VisualWebArena,visual reference,MIT,Docker multi-site; Python3.10/3.11,reset token and cookies; full reset TODO,execution scorer; no defect oracle,no UI mutations,Playwright/BrowserGym,visual plus AX tree,very high multi-service/reset risk,visual-reference
WebArena-Verified,oracle reference,Apache-2.0; environment licenses separate,pip/uvx/Docker; offline trace replay,trace replay avoids live reset; interactive SUT absent,deterministic structural scorer confirmed,no UI mutation,trace evaluator; not arm runner,offline scorer; observation upstream,medium as evaluator reference,oracle-reference
BrowserGym,harness,Apache-2.0,pip plus benchmark-specific setup,delegates reset to benchmark,task rewards not defect oracle,custom tasks possible; mutation absent,Playwright and AbstractBrowserTask,HTML/AXTree/screenshots,Python/dependency breadth, harness-candidate
BookStack,SUT,MIT,Docker/upstream plus WebTestPilot pinned container,"10/10 reset/workflow/oracle cycles passed",persisted-state DB oracle verified,"layout mutation and persistence fault verified",direct,"Playwright runs; visual/hybrid adapters pending",amd64 translated under Rosetta,verified-vertical-slice-provisional
Indico,SUT,MIT,"WebTestPilot 3.3.6 built native arm64","3 clean-volume resets restored exactly 18 events",event relational oracle draft,forms/calendar/role mutation feasible,direct,"all arms pending task adapter",six services and startup compatibility warning,reset-verified-task-draft
PrestaShop,SUT,OSL/open-source; dependency licenses separate,Docker dev environment and pinned bundle,auto-install/reset hint; experiment reset unverified,store/admin/DB assertions feasible,rich UI but expensive,direct,all arms in principle,large app and architecture risk,complexity-candidate
InvoiceNinja-v5,SUT,Elastic License official,official Docker and seeds,migrate:fresh/seed documented; restore unverified,rich billing DB/API assertions,forms/tables feasible,direct,all arms in principle,Elastic license; PDF/Chrome service; high cost,exclude-until-review
OWASP-Juice-Shop,fallback SUT,MIT,"official v20.0.0 arm64 image pinned by digest","2 ephemeral resets; stable HTTP/API probe",REST/SQLite task oracle draft,frontend easy to mutate,direct,"all arms pending task adapter",CTF-oriented workflow bias,reset-verified-fallback
Focalboard,fallback SUT,license file present; exact text needs copy,official Docker/SQLite/Postgres,volume deletion resets persistence; benchmark seed unknown,REST/SQLite hidden oracle feasible,kanban/modal mutation feasible,direct,all arms implementable,unmaintained and reset uncertainty,fallback
