id,citation,year,venue_or_status,system_scope,comparison,empirical_data,include_status,reason,source
P01,"Chevrot et al., Are Autonomous Web Agents Good Testers?",2025,"Proc. ACM Softw. Eng. / ISSTA",Web E2E testing,"Two ATA designs",113 natural-language tests on 3 offline web apps,include-core,"Closest testing study; lacks matched traditional automation baseline",https://doi.org/10.1145/3728879
P02,"Kong et al., WebTestBench",2026,arXiv,Web E2E testing,"CUA models/framework baseline",WebTestBench tasks across web application categories,include-core,"Direct CUA testing benchmark; no traditional-script comparison",https://arxiv.org/abs/2603.25226
P03,"He et al., WebVoyager",2024,ACL,Web navigation,"Multimodal agent vs text-only accessibility-tree agent",643 tasks across 15 live websites,include-adjacent,"Evidence about visual versus structured observation, not software testing",https://arxiv.org/abs/2401.13919
P04,"Prucha et al., Are LLM Agents the New RPA?",2025,arXiv,"Enterprise UI/RPA workflows","Anthropic Computer Use vs UiPath",Data entry monitoring and document extraction,include-conflict-neighbour,"Closest controlled paradigm comparison; not Web software testing or traditional browser script baseline",https://arxiv.org/abs/2509.04198
P05,"Zimmermann and Koziolek, GUI-Based Software Testing",2023,"ASEW A-TEST","Web GUI testing","GPT-4 plus Selenium vs monkey testing",Web calculator with branch coverage,include-adjacent,"LLM-assisted Selenium but no screenshot CUA and no conventional authored script baseline",https://doi.org/10.1109/ASEW60602.2023.00028
P06,"Salva, Reliable execution of natural language test cases",2026,"Software Quality Journal","GUI/web test execution","Guarded LLM agents","4 NL test suites targeting 6 web applications",include-adjacent,"Strong oracle-reliability evidence but no visual CUA or scripted baseline",https://doi.org/10.1007/s11219-026-09767-2
P07,"Zhao et al., GUI Testing Arena",2024,arXiv,"Mobile GUI testing","MLLM agents",Mobile apps and injected defects,include-adjacent,"Open autonomous GUI-testing benchmark; different platform and no traditional baseline",https://arxiv.org/abs/2412.18426
P08,"Yang et al., GUI-Robust",2025,arXiv,"Web and desktop GUI-agent robustness","Multiple GUI agents",5318 tasks including 200 anomaly tasks,include-reusable,"Open anomaly taxonomy/toolkit useful for mutations but not testing-oracle benchmark",https://arxiv.org/abs/2506.14477
P09,"Teoh et al., WebTestPilot",2026,"Proc. ACM Softw. Eng. / FSE","Web E2E testing","Hybrid VLM agent vs three agent baselines; narrow XPath/CSS/Playwright re-identification comparison","4 open-source web apps 100 injected bugs; 40 UI-change cases",include-partial-conflict,"Strong overlap in NL E2E testing and mutation robustness; no whole-suite CUA-vs-traditional comparison across cost/reliability/maintenance",https://doi.org/10.1145/3797115
P10,"Ye et al., AI Agents for Web Testing",2025,arXiv,"Web usability testing","Visual agent case study",120 public academic websites,include-adjacent,"Visual user-centered testing with no matched traditional baseline",https://arxiv.org/abs/2509.05197
P11,"Kirinuki et al., XTestGen",2025,"ICSME Tool Demo","Web E2E script generation","LLM-generated deterministic scripts",Tool evaluation,include-adjacent,"Hybrid alternative rather than CUA comparison",https://doi.org/10.1109/ICSME64153.2025.00104
P12,"Mughal and Bilal, LLM-Based Test Oracles",2026,arXiv,"LLM testing oracles","Systematic literature review",83 included studies,include-methodological,"Oracle authority taxonomy and evaluation guardrail",https://arxiv.org/abs/2607.05031
